shop_url,info_url,company_name,telephone
https://www.rakuten.co.jp/kawakamikutu/,https://www.rakuten.co.jp/kawakamikutu/info.html,Not Found,03-3901-1524
https://www.rakuten.co.jp/essedesse/,https://www.rakuten.co.jp/essedesse/info.html,エムビーエム杉本製靴株式会社,06-6641-1803
https://www.rakuten.co.jp/my-shoes/,https://www.rakuten.co.jp/my-shoes/info.html,Not Found,052-362-8231
https://www.rakuten.co.jp/ort-factoryshoes/,https://www.rakuten.co.jp/ort-factoryshoes/info.html,オリエンタルシューズ株式会社,0743-55-1113
https://www.rakuten.co.jp/nws/,https://www.rakuten.co.jp/nws/info.html,Not Found,055-962-4155
https://www.rakuten.co.jp/thunder-trading/,https://www.rakuten.co.jp/thunder-trading/info.html,サンダー商事株式会社,0358087428
https://www.rakuten.co.jp/regalonline/,https://www.rakuten.co.jp/regalonline/info.html,株式会社リーガルコーポレーション,0120365192
https://www.rakuten.co.jp/kutsuhoridashi/,https://www.rakuten.co.jp/kutsuhoridashi/info.html,株式会社ビーンズ,0120-16-4192
https://www.rakuten.co.jp/kutunohoshikawa/,https://www.rakuten.co.jp/kutunohoshikawa/info.html,株式会社星川商店,0586722975
https://www.rakuten.co.jp/sakaikututen/,https://www.rakuten.co.jp/sakaikututen/info.html,Not Found,0529364328
